
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118809                       # Number of seconds simulated (Second)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads               1290796485                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites               648625809                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses       596687858                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   188723089                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                   686426267                       # Number of vector alu accesses (Count)
system.cpu.numInsts                         783323755                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     238086682                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                   3953370                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                 335                       # Number of nop insts executed (Count)
system.cpu.numRefs                          370356919                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       37896511                       # Number of branches executed (Count)
system.cpu.numStoreInsts                    132270237                       # Number of stores executed (Count)
system.cpu.numRate                           3.296576                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             770                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           57921                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   701649727                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     769676041                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.338655                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.338655                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               2.952856                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          2.952856                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  555708182                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 119687845                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                 1165620597                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                    99018283                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  101636681                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                1460326690                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                226761693                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0<bad format>.insertedLoads    242823672                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0<bad format>.insertedStores    135263666                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0<bad format>.conflictingLoads     59009448                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0<bad format>.conflictingStores     69285625                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0<bad format>.baseUsingStoreSetCheck    295649555                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__0<bad format>.BypassStoreSetCheck     82437166                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__0<bad format>.SSITCollisions    119330372                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__0<bad format>.SSITOverwrites         4356                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__0<bad format>.LFSTInvalidations     11056800                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__1<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__1<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__1<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__1<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__1<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__2<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__2<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__2<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__2<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__2<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__3<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__3<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__3<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__3<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__3<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__0.insertedLoads        242823672                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__0.insertedStores       135263666                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__0.conflictingLoads      59009448                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__0.conflictingStores     69285625                       # Number of conflicting stores. (Count)
